"N","General Library","Specific Library","General Metalearner","Metalearner","Risk","Avg. Regret","Var. Relative to GLM","% Match"
1000,"Blip only","GLM","N/A","N/A","N/A","-0.0765","1.0000","56.7"
1000,"Blip only","Parametric blip models","Discrete","Discrete","CV MSE","-0.0756","2.2119","56.4"
1000,"Blip only","Parametric blip models","Discrete","Discrete","CV TMLE","-0.0721","1.8161","58.0"
1000,"Blip only","Parametric blip models","Continuous","Blip-based","CV MSE","-0.0772","1.7008","56.1"
1000,"Blip only","Parametric blip models","Continuous","Blip-based","CV TMLE","-0.0744","1.6762","57.7"
1000,"Blip only","Parametric blip models","Continuous","Vote-based","CV TMLE","-0.0733","1.6635","57.8"
1000,"Blip only","ML blip models","Discrete","Discrete","CV MSE","-0.0393","2.4105","72.0"
1000,"Blip only","ML blip models","Discrete","Discrete","CV TMLE","-0.0281","0.7664","76.9"
1000,"Blip only","ML blip models","Continuous","Blip-based","CV MSE","-0.0253","0.5708","77.7"
1000,"Blip only","ML blip models","Continuous","Blip-based","CV TMLE","-0.0268","0.6024","77.0"
1000,"Blip only","ML blip models","Continuous","Vote-based","CV TMLE","-0.0277","0.7006","76.7"
1000,"Blip only","Parametric + ML blip models","Discrete","Discrete","CV MSE","-0.0389","2.1327","72.0"
1000,"Blip only","Parametric + ML blip models","Discrete","Discrete","CV TMLE","-0.0284","0.7781","76.8"
1000,"Blip only","Parametric + ML blip models","Continuous","Blip-based","CV MSE","-0.0261","0.6493","77.4"
1000,"Blip only","Parametric + ML blip models","Continuous","Blip-based","CV TMLE","-0.0276","0.6351","76.7"
1000,"Blip only","Parametric + ML blip models","Continuous","Vote-based","CV TMLE","-0.0298","0.8021","75.7"
1000,"Full","ML blip models and EYd maximizers","Discrete","Discrete","CV TMLE","-0.0277","0.7844","76.6"
1000,"Full","ML blip models and EYd maximizers","Continuous","Vote-based","CV TMLE","-0.0287","0.7463","76.8"
1000,"Full","All blip models and EYd maximizers","Discrete","Discrete","CV TMLE","-0.0280","0.8083","76.4"
1000,"Full","All blip models and EYd maximizers","Continuous","Vote-based","CV TMLE","-0.0290","0.7772","76.4"
300,"Blip only","GLM","N/A","N/A","N/A","-0.0827","1.0000","55.0"
300,"Blip only","Parametric blip models","Discrete","Discrete","CV MSE","-0.0848","1.5846","54.0"
300,"Blip only","Parametric blip models","Discrete","Discrete","CV TMLE","-0.0815","1.5871","55.4"
300,"Blip only","Parametric blip models","Continuous","Blip-based","CV MSE","-0.0850","1.5509","54.1"
300,"Blip only","Parametric blip models","Continuous","Blip-based","CV TMLE","-0.0824","1.5346","55.4"
300,"Blip only","Parametric blip models","Continuous","Vote-based","CV TMLE","-0.0817","1.6227","55.4"
300,"Blip only","ML blip models","Discrete","Discrete","CV MSE","-0.0665","2.4337","60.9"
300,"Blip only","ML blip models","Discrete","Discrete","CV TMLE","-0.0544","1.5571","65.0"
300,"Blip only","ML blip models","Continuous","Blip-based","CV MSE","-0.0546","1.5906","65.3"
300,"Blip only","ML blip models","Continuous","Blip-based","CV TMLE","-0.0522","1.3185","66.1"
300,"Blip only","ML blip models","Continuous","Vote-based","CV TMLE","-0.0554","1.3437","64.9"
300,"Blip only","Parametric + ML blip models","Discrete","Discrete","CV MSE","-0.0649","2.4343","61.1"
300,"Blip only","Parametric + ML blip models","Discrete","Discrete","CV TMLE","-0.0555","1.6545","64.5"
300,"Blip only","Parametric + ML blip models","Continuous","Blip-based","CV MSE","-0.0538","1.6002","65.4"
300,"Blip only","Parametric + ML blip models","Continuous","Blip-based","CV TMLE","-0.0530","1.3822","65.7"
300,"Blip only","Parametric + ML blip models","Continuous","Vote-based","CV TMLE","-0.0572","1.5197","64.1"
300,"Full","ML blip models and EYd maximizers","Discrete","Discrete","CV TMLE","-0.0571","1.6907","64.4"
300,"Full","ML blip models and EYd maximizers","Continuous","Vote-based","CV TMLE","-0.0547","1.5835","65.3"
300,"Full","All blip models and EYd maximizers","Discrete","Discrete","CV TMLE","-0.0558","1.6624","64.8"
300,"Full","All blip models and EYd maximizers","Continuous","Vote-based","CV TMLE","-0.0586","1.5285","63.8"
